binned_distance	distance	AG.v50.1cell.iced.5kb	AG.v50.48hr.iced.5kb	AG.v50.60hr.iced.5kb	AG.v50.5day.iced.5kb	AG.v50.10day.iced.5kb
10700000	10749649.5	0.021197135977743423	0.006219012	0.003309779	0.003183412	0.010786985643053764
10800000	10849669.5	0.020454425	0.005821046	0.003425485	0.003298305	0.010576647348823279
10900000	10949689.5	0.020445775170522346	0.005895486	0.003420671	0.004459987	0.012268249
11000000	11049709.5	0.021337865	0.005725904	0.003687956	0.003200569	0.011624471872241523
11100000	11149729.5	0.020399100913671787	0.006325477	0.003702459	0.002715862	0.010783434223394514
11200000	11249749.5	0.019757898	0.005994794	0.00334645	0.00315897	0.010636064
11300000	11349769.5	0.020044820379615424	0.00601168	0.003460369	0.003000917	0.010329052546314214
11400000	11449789.5	0.018835191688826188	0.005607718	0.003454141	0.002599735	0.017193061866668385
11500000	11549809.5	0.020991436667361568	0.005380085	0.003394042	0.00311534	0.010540867819380984
11600000	11649829.5	0.019756326805262146	0.00551127	0.003512068	0.006027087	0.00991136
11700000	11749849.5	0.020383982455175045	0.005913522	0.003598047	0.00332061	0.011535339055513892
11800000	11849869.5	0.018679857570295003	0.005206636	0.00308458	0.002585907	0.011322451026886593
11900000	11949889.5	0.019144485	0.005293069	0.003423934	0.003698941	0.019275397203427542
12000000	12049909.5	0.017875557880100833	0.005378565	0.003320453	0.003437498	0.009795307
12100000	12149929.5	0.018157929364069313	0.005433387	0.003560677	0.005702795	0.00934414
12200000	12249949.5	0.017264982666994787	0.005645288	0.003277851	0.003236563	0.010247781458481871
12300000	12349969.5	0.017867011451163328	0.00530476	0.003203112	0.002661823	0.008253027
12400000	12449989.5	0.018281707	0.005408926	0.003114	0.003392345	0.008293619
12500000	12550009.5	0.017511574445216244	0.005267055	0.003466348	0.002095405	0.006957546
12600000	12650029.5	0.017332150946119635	0.005122882	0.003150311	0.002407081	0.008653472
12700000	12750049.5	0.016155973488039408	0.005351654	0.003134276	0.002590956	0.007037001
12800000	12850069.5	0.016135664667706478	0.005029961	0.003626095	0.00275728	0.007400744
12900000	12950089.5	0.016837520615368248	0.004956376	0.003357677	0.002033404	0.006234076
13000000	13050109.5	0.016657169726102563	0.004831264	0.003076272	0.002077023	0.007280023
13100000	13150129.5	0.015304000521219462	0.005283921	0.003144979	0.001862079	0.006730738
13200000	13250149.5	0.016651869	0.004630758	0.00283918	0.002264194	0.007523974
13300000	13350169.5	0.015018215	0.004427681	0.002658162	0.003241942	0.007885544
13400000	13450189.5	0.015051628023088216	0.004620081	0.002954512	0.003205568	0.007374873
13500000	13550209.5	0.014249956	0.004685441	0.002803534	0.002611562	0.007603673
13600000	13650229.5	0.015336036530187806	0.004641779	0.002930051	0.00319771	0.007342027
13700000	13750249.5	0.013295159652494861	0.004383165	0.003289062	0.00353974	0.007056838
13800000	13850269.5	0.014535251080317437	0.004285053	0.003123699	0.002498374	0.007068776
13900000	13950289.5	0.013255395637220132	0.004766812	0.003111396	0.00435602	0.007947955
14000000	14050309.5	0.013832978811028733	0.004885238	0.003389037	0.00300463	0.007817721
14100000	14150329.5	0.013072093786802647	0.004606517	0.002982594	0.002918824	0.008377883
14200000	14250349.5	0.014085890668163499	0.00446678	0.002993357	0.00383493	0.009223929
14300000	14350369.5	0.013040529609351245	0.004600535	0.002958755	0.004262686	0.009088927
14400000	14450389.5	0.012105561	0.00413694	0.002776321	0.002054669	0.0084412
14500000	14550409.5	0.012813623802485389	0.004393528	0.003063143	0.004113746	0.007174654
14600000	14650429.5	0.013537245	0.003857694	0.002610578	0.003110139	0.008317791
14700000	14750449.5	0.014369704869968997	0.005360463	0.003052009	0.002520069	0.007274166
14800000	14850469.5	0.011532986583942955	0.004358675	0.002572515	0.011689807728555126	0.008698423
14900000	14950489.5	0.014001447995129191	0.004212805	0.00273058	0.003396245	0.008349949
15000000	15050509.5	0.014149787	0.003700865	0.002837615	0.003460634	0.008949281
15100000	15150529.5	0.012465090907397329	0.004098707	0.00283977	0.010575139947768198	0.008487116
15200000	15250549.5	0.011145809244279154	0.004211732	0.002662595	0.002806628	0.008905751
15300000	15350569.5	0.012649966767695456	0.00409479	0.002677352	0.003588559	0.007310043
15400000	15450589.5	0.011955184663830134	0.004220522	0.002781196	0.002951306	0.009181784
15500000	15550609.5	0.011838282	0.003768484	0.003178727	0.003012049	0.00738722
